column_id	line_number	text
header		અંગુઠી 3 અગ્રેસ
left	1	<b>અગમ્ય,</b> <i>a.</i> Inaccessible, improper
left	2	to be approached. 2 Abstruse.
left	3	3 Unattainable, impracticable.
left	4	<b>અગર,</b> <i>s. f.</i> Aloe-wood. 2 <i>conj.</i> If,
left	5	in case, suppose that, whether
left	6	or no.
left	7	<b>અગરબત્તી,</b> <i>s. f.</i> A wick covered
left	8	over with a composition of
left	9	aloe-wood-scrapings, camphor
left	10	and other fragrant substances.
left	11	<b>અગવડ,</b> <i>s. f.</i> Inconvenience, diffi-
left	12	culty, insufficient accomodation.
left	13	<b>અગવાડો,</b> <i>s. m.</i> The space in the
left	14	front of a house.
left	15	<b>અંગ,</b> <i>s. n.</i> The body. 2 A mem-
left	16	ber, a limb (<b>આંગ</b>) <b>આંગપર</b>
left	17	<b>આવવું</b> To fall bodily upon with
left	18	angry violence. [contact.
left	19	<b>અંગઅંગ થવું,</b> <i>v. n.</i> To come into
left	20	<b>અંગબળ,</b> <i>n.</i> Physical strength.
left	21	<b>અંગરખો,</b> <i>s. m.</i> Angarkha.
left	22	<b>અંગરોગ,</b> <i>s. m.</i> Bodily disease.
left	23	<b>અંગવસ્ત્ર,</b> <i>s. n.</i> Clothes, raiment;
left	24	garments, (body clothes.)
left	25	<b>અંગવિકૃતિ,</b> <i>s. f.</i> Bodily disease.
left	26	2 Disorder in the brain.
left	27	<b>અંગજ્ઞાન,</b> <i>s. n.</i> Instinct, brute
left	28	intelligence.
left	29	<b>અંગાર,</b> <i>s. m.</i> Burning charcoal,
left	30	a live-coal, a fire-brand.
left	31	<b>અંગીકારવું,</b> <i>v. a.</i> To accept.
left	32	2 To consider as one's own.
left	33	3 To pledge, promise.
left	34	<b>અંગુઠી,</b> <i>s. f.</i> A ring. 2 A thim-
left	35	ble. <b>અંગુઠો</b> <i>m.</i> (<b>પગનો</b>) Toe,
right	1	(<b>હાતનો</b>) Thumb.
right	2	<b>અંગુર,</b> <i>s. f.</i> Ripe grapes.
right	3	<b>અંગ્રેજ,</b> <i>s. c.</i> The English (<b>અં-</b>
right	4	<b>ગ્રેજણ</b> <i>f.</i>)
right	5	<b>અંગ્રેજી,</b> <i>s. f.</i> English. (<b>ઇંગ્રેજી</b>)
right	6	<b>અગાઉ,</b> <i>ad.</i> Before, formerly;
right	7	<b>અગાઉથી</b> <i>ad.</i> Previously;
right	8	originally.
right	9	<b>અગાડી પછાડી,</b> <i>s. f.</i> The head
right	10	and heel-ropes of a horse.
right	11	2 <i>ad.</i> Backwards and forwards.
right	12	<b>અગાત,</b> <i>s. m.</i> A stone on which
right	13	a deed of sale or grant of land
right	14	is engraved and deposited in or
right	15	near the land to which it relates.
right	16	<b>અગાધ,</b> <i>a.</i> Bottomless, fathom-
right	17	less, boundless.
right	18	<b>અગાર,</b> <i>s. n.</i> A house.
right	19	<b>અગાસી,</b> <i>s. f.</i> A terrace.
right	20	<b>અગિયાર,</b> <i>a.</i> Eleven. <b>અગિયારા</b>
right	21	<b>ગણવા</b> <i>v. a.</i> To run away, to
right	22	escape, to take to one's heels.
right	23	<b>અગુણી,</b> <i>a.</i> Unpractised, incap-
right	24	able of working, useless.
right	25	<b>અગોચર,</b> <i>a.</i> Insensible, imper-
right	26	ceptible. 2 Unobserved or un-
right	27	heard of before.
right	28	<b>અગ્નિ,</b> <i>s. f.</i> Fire. 2 Gastric heat.
right	29	<b>અગ્નિકોણ,</b> <i>s. f.</i> The south east
right	30	quarter.
right	31	<b>અગ્ર,</b> <i>s. n.</i> The point, end, top.
right	32	2 Anterior, front. 3 Chief, prior.
right	33	<b>અગ્રવાદી,</b> <i>s. c.</i> A plaintiff; a
right	34	prosecutor. [dent.
right	35	<b>અગ્રેસર,</b> <i>s. m.</i> A leader, a presi-
