column_id	line_number	text
header		NSI 16 NWE
header		Art ; Äll.-Met ; Thëre.-Ravine ; Bïd.-Ñ=ng.
left	1	<b>N-SÏN'-E—N-SÏN-E</b>, <i>a. & adv.</i> 1.
left	2	Back ; towards the interior.
left	3	2. Off the street; retiring between
left	4	houses on either side. Nsïne-
left	5	nsïne ufök, <i>A house placed back.</i>
left	6	<b>N-SÏP'-N-DEÑ</b>, <i>a.</i> (Sïp I., deñ). Not
left	7	buoyant; sinking when swamped,
left	8	<i>e.g.</i>, a canoe made of heavy wood.
left	9	<b>N-SUK'-N-TI-E</b>, <i>n.</i> (Suk II., tie).
left	10	Leisure; ease.
left	11	<b>N'-TA</b>, <i>n. v.</i> Plural of Ata III.
left	12	<b>Ëduk ke nta ke nta</b>, <i>The proper</i>
left	13	<i>persons, those qualified, come.</i>
left	14	<b>N-TA'-FI-AÑ</b>, <i>n. Ib., Ef.</i>, Ekpetere,
left	15	<i>q.v.</i>
left	16	<b>N-TAÑ'-N-SÜB-O</b>, <i>a.</i> (Tañ I., Sübo
left	17	II.) 1. Heterogeneous; promis-
left	18	cuous. Ntañ-nsübo owo, <i>An</i>
left	19	<i>omnigatherum, a promiscuous as-</i>
left	20	<i>sembly.</i>
left	21	2. Party-coloured; patched with
left	22	different kinds of colours. Ntañ-
left	23	nsübo öföñ, <i>A piece of patchwork.</i>
left	24	Ntañ-nsübo ubüm, <i>A canoe a good</i>
left	25	<i>deal patched.</i>
left	26	<b>N'-TE</b>, <i>n. Ib., Ef.</i>, Ete, <i>q.v.</i>
left	27	<b>N-TEN'-I-FI-A</b>, <i>n.</i> Embers.
left	28	<b>N'-TÏM</b>, <i>n.</i> A disease resembling
left	29	krä-krä, which comes on the leg
left	30	or foot.
left	31	<b>N-TÏM'-E</b>, <i>n.</i> <b>(Time II.)</b> Confusion.
left	32	<i>Syn.</i>, Ndutïme. Esïn ntïme, <i>He</i>
left	33	<i>causes confusion.</i>
left	34	<b>N-TÏM-E</b>, <i>n.</i> 2. Bustle. Obio emi
left	35	öyäkha ntime, <i>This town is full</i>
left	36	<i>of bustle.</i>
left	37	<b>N-TÏN'-YA</b>, <i>n. Ib., Ef.</i>, Anyanya,
left	38	<i>q.v.</i>
left	39	<b>N'-TÖK-RÖK</b>, <i>n.</i> A small pot or
left	40	vessel, hence used by some for a
left	41	small quantity. Esïn ke ekpri
left	42	ntökrök ñkpö ntem önö mi, <i>He</i>
left	43	<i>put in a thimbleful so, and gave</i>
left	44	<i>me.</i>
left	45	<b>N'-TU-AI, I.</b> <i>n.</i> Folding of flesh in
left	46	the sides of a person of full habit.
left	47	<b>N'-TU-AI, II.</b> <i>n.</i> (Tuai). Frequent
left	48	thumping or pinching; hitting.
left	49	Edep akama, v., anam ëyën ntuai,
left	50	<i>The nurse keeps on still thumping</i>
left	51	<i>the child. Syn.</i>, Ntuak-ubök.
right	1	<b>N-TU-AK'-U-BOK</b>, <i>n.</i> (Tuak, ubök).
right	2	A knocking or slapping. <b>Owo</b>
right	3	ntuak-ubök, <i>One given to lift his</i>
right	4	<i>hand.</i>
right	5	<b>N-TU-AÑ'-A</b>, <i>n.</i> (Tuaña). Weep-
right	6	ing; lamentation. A plural or
right	7	emphatic form for eritua.
right	8	<b>N'-TU-AT</b>, <i>n.</i> Squabness; corpu-
right	9	lence. Ntuat esie akaha, <i>His</i>
right	10	<i>shortness is excessive.</i>
right	11	<b>N-TUK'-Ë-YËN</b>, <i>n. Ib., Ef.</i>, Nditä-
right	12	owoñ, <i>q.v.</i>
right	13	<b>N-TUK'-HU-BE</b>, <i>n.</i> Morning mist.
right	14	<b>N-TÜN-Ä</b>, <i>v.</i>, Tür-ä. (Türä). Dis-
right	15	cipline; nurture; upbringing.
right	16	<b>NUK</b>, <i>v. tr. Trop.</i> With <i>nö</i>, To
right	17	transfer, hand over. Enye onuk
right	18	ikä önö fi, <i>He hands over the</i>
right	19	<i>matter to you.</i>
right	20	<b>ÑWAK</b>, <i>n.</i> A strong stream, current.
right	21	<b>ÑWA</b>, <i>v.</i>, UÑ-WA, <i>n.</i> With unam.
right	22	A piece of flesh; a junk, joint.
right	23	<b>ÑWAM</b>, <i>v. tr. Ib., Ef.</i>, Nyaña II., <i>q.v.</i>
right	24	<b>ÑWAN</b>, I., <i>v. tr.</i> 2. <i>Trop.</i> To ex-
right	25	haust. <b>Añwan ökpö mi</b>, <i>The sick-</i>
right	26	<i>ness dries my bones. Syn.</i>, Sat.
right	27	<b>ÑWAÑ-A</b>, <i>v. tr.</i> 6. To cause to feel
right	28	relieved. Ibifik añwaña mi, <i>I</i>
right	29	<i>can breathe freely now</i>, i.e., <i>I am</i>
right	30	<i>relieved from sickness, danger, or</i>
right	31	<i>annoyance.</i>
right	32	<b>ÑWAÑ-A-ÑWAÑ-A</b>, <i>adv. Trop.</i>
right	33	Openly, at length. <b>Ntïñ ñwaña-</b>
right	34	<b>nwaña</b>, <i>I speak freely, openly.</i>
right	35	<b>ÑWAR-A-N-DAT</b>, <i>a.</i> (Wara, dat).
