column_id	line_number	text
header		KIS
header		810
header		KIS
left	1	<b>KISEN</b> <b>キセン</b> <b>貴賤</b> (<i>tattoki</i>, <i>iyashiki</i>) High
left	2	and low; noble and plebian; honorable and
left	3	mean.
left	4	<b>KISEN</b> <b>キセン</b> <b>氣舩</b> n. A steamboat, steamer.
left	5	<b>†KISENAGA</b> <b>キセナガ</b> n. A kind of coat worn
left	6	by the military in ancient times.
left	7	<b>KISENDOMARI</b> <b>キセンドマリ</b> <b>木錢泊</b> n. An
left	8	inferior kind of inn, where travelers were
left	9	charged only the price of the wood used in
left	10	cooking their food.
left	11	Syn. KICHINYADO.
left	12	<b>KISERU</b> <b>キセル</b> <b>煙管</b> n. A tobacco pipe: —
left	13	<i>wo haru</i>, to make pipes; — <i>no gankubi</i>, the
left	14	bowl of a tobacco-pipe; — <i>no rao</i>, the bamboo
left	15	tube of a tobacco-pipe.
left	16	<b>KISERUGAI</b> <b>キセルガイ</b> n. A species of snail,
left	17	<i>Clausilia</i>.
left	18	<b>KISEWATA</b> <b>キセワタ</b> n. Cotton used to cover
left	19	the chrysanthemum flowers at night to protect
left	20	them from the frost.
left	21	<b>KISHA</b> <b>キシャ</b> <b>喜捨</b> (<i>yorokobi suteru</i>) — <i>suru</i>,
left	22	cheerfully to give or contribute, as money,
left	23	etc., to assist others.
left	24	<b>KISHA</b> <b>キシャ</b> <b>記者</b> n. An editor, writer,
left	25	author.
left	26	<b>KISHA</b> <b>キシャ</b> <b>氣車</b> n. A railway carriage,
left	27	car: — <i>chin</i>, railway fare.
left	28	<b>KISHI</b> <b>キシ</b> <b>岸</b> n. A bank; a wall; a cliff: —
left	29	<i>no kiwa</i>, the edge of a bank; <i>kano</i> — <i>ni itaru</i>,
left	30	to reach the opposite shore (of paradise)
left	31	(Budd.); — <i>mukai no kwaji</i> (prov.).
left	32	<b>KISHIBOJIN</b> <b>キシボジン</b> <b>鬼子母神</b> n. (the
left	33	mother of demons) A Buddhist female di-
left	34	vinity, Harite of the Hindoos, a devourer of
left	35	infants, but who was converted by Shaka,
left	36	to whom pomegranates are offered in sacrifice.
left	37	<b>KISHIKATA</b> <b>キシカタ</b> n. The past: — <i>to yuku-</i>
left	38	<i>saki</i>, the past and the future.
left	39	Syn. KOSHIKATA.
left	40	<b>KISHIKU</b> <b>キシク</b> <b>寄宿</b> — <i>suru</i>, to lodge, sojourn,
left	41	board, or dwell for a short time: — <i>gakkō</i>, a
left	42	boarding-school; — <i>jo</i>, a boarding-house.
left	43	<b>KISHIKUNIN</b> <b>キシクニン</b> <b>寄宿人</b> n. A lodger,
left	44	boarder, sojourner.
left	45	<b>KISHIMI,-MU</b> <b>キシム</b> i.v. To stick or rub in
left	46	moving; not to move or work easily or freely;
left	47	to move with much friction; to creak: <i>to ga</i>
left	48	<i>kishimu</i>, the door sticks; <i>hikidashi ga kishinde</i>
left	49	<i>hairanu</i>, the drawer sticks and will not go in;
left	50	<i>abura wo tsukereba kishimanai</i>, if you lubri-
left	51	cate it with oil it will not stick.
