column_id	line_number	text
header		સુગાવું 819 સુંઠસા
left	1	<b>સુખપ્રસવ,</b> <i>s.m.</i> Gentle or easy
left	2	parturition.
left	3	<b>સુખસંતોષ,</b> <i>s.m.</i> Ease and plea-
left	4	sure; comfort, enjoyment.
left	5	<b>સુખસમાધાન,</b> <i>s.n.</i> Ease and
left	6	peace; happiness and quiet,
left	7	enjoyment. [state.
left	8	<b>સુખાકારી,</b> <i>s.f.</i> Health, healthy
left	9	<b>સુખામૃત,</b> <i>s.n.</i> The nectar of
left	10	happiness; sweet happiness,
left	11	<b>સુખાવસ્થા,</b> <i>s.f.</i> A happy state.
left	12	<b>સુખાળ,</b> <i>a.</i> Happy, content.
left	13	<b>સુખી,</b> <i>a.</i> Comfortable. 2 That
left	14	is in enjoyment of compe-
left	15	tence or easy circumstances.
left	16	<b>સુખોત્પત્તિ,</b> <i>s.f.</i> Ease, happiness.
left	17	<b>સુગ,</b> <i>s.f.</i> Prejudice. 2 Dislike.
left	18	<b>સુ-ગતિ,</b> <i>s.f.</i> Happy state.
left	19	<b>સુગંધ,</b> <i>s.f.</i> Fragrance, perfume.
left	20	<b>સુગંધી-ત,</b> <i>a.</i> Sweet-smelling,
left	21	fragrant. 2 <i>s.f.</i> Perfumery.
left	22	3 A vender of perfumes.
left	23	<b>સુગંધીદાર,</b> <i>a.</i> Fragrant,
left	24	perfumed.
left	25	<b>સુગમ,</b> <i>a.</i> (<b>સુ</b> Easy & <b>ગંમ</b> To
left	26	go.) Easily acquirable or
left	27	attainable; easy, simple, plain.
left	28	<b>સુગર,</b> <i>a.</i> Skilful, expert.
left	29	2 Stupid, dull.
left	30	<b>સુંગવું,</b> <i>v.a.</i> (<b>सुघ्राण</b> S.) To
left	31	smell. 2 To snuff.
left	32	<b>સુંગાડવું,</b> <i>v.a.</i> To make to smell
left	33	or snuff. [snuffed.
left	34	<b>સુંગાવું</b> <i>v.n.</i> To be smelled or
left	35	<b>સુગાવું,</b> <i>v.n.</i> To be averse from,
right	1	to be prejudiced against; to
right	2	dislike.
right	3	<b>સુગ્રીવ,</b> <i>s.m.</i> S. The monkey-
right	4	king who helped Ráma in
right	5	his war against Ráwan.
right	6	<b>સુધડ,</b> <i>a.</i> Neat, clean, tidy.
right	7	<b>સુધડતું,</b> <i>a.</i> Well-made. [ness.
right	8	<b>સુધડાઈ,</b> <i>s.f.</i> Cleanliness, neat-
right	9	<b>સુચના,</b> <i>s.f.</i> A suggestion, hint.
right	10	<b>સુચરિત્રા,</b> <i>s.f.</i> A well-behaved
right	11	and virtuous wife or woman.
right	12	<b>સુચવવું,</b> <i>v.a.</i> To hint, suggest.
right	13	2 To inform.
right	14	<b>સુચવું,</b> <i>v.a.</i> To occur or sug-
right	15	gest itself to.
right	16	<b>સુચિત્ત,</b> <i>a.</i> Attentive, advertent.
right	17	<b>સુચિન્હ,</b> <i>s.n.</i> A good omen.
right	18	<b>સુ-જન,</b> <i>s.m.</i> A good man.
right	19	<b>સુજવું,</b> <i>v.n.</i> (<b>शौथ</b> S.) To swell.
right	20	<b>સુજવું,</b> <i>v.a.</i> To seem; to ap-
right	21	pear; to occur or suggest
right	22	itself to.
right	23	<b>સુજની,</b> <i>s.f.</i> A texture of silk
right	24	mixed with cotton.
right	25	<b>સુજસ,</b> <i>s.m.</i> Honourable repute.
right	26	<b>સુજંઘ,</b> <i>s.f.</i> (<b>સુ</b> & <b>જાંઘ</b>) A poetic
right	27	term of praise for the thigh.
right	28	<b>સુ-જાણ,</b> <i>a.</i> Intelligent, sharp,
right	29	ready, apt, clever.
right	30	<b>સુઝ પડવી,</b> To know what to do.
right	31	<b>સુંઠ,</b> <i>s.f.</i> (<b>शुंठी</b> S.) Ginger.
right	32	<b>સુંઠસાકર,</b> <i>sf.</i> A mixture of
right	33	ginger-powder and sugar
right	34	(eaten as a cure for bibulous
right	35	and other disorders.)
