column_id	line_number	text
header		46
left	1	<b>tuadɛmʷã</b> father and son (cf.
left	2	tu 3, dɛmʷã).
left	3	<b>tuaeði</b> [Ṯ] a pair of cross-
left	4	cousins of the same sex (cf.
left	5	tuavae; tu 3, eði).
left	6	<b>tuarə</b> to resemble.
left	7	<b>tuavae</b> a pair of cross-cousins
left	8	of the same sex (cf. [Ṯ]
left	9	<b>tuaeði</b>; tu 3, related to
left	10	auvae).
left	11	<b>tuavɔɔru</b> a married couple
left	12	(husband and wife) (cf. tu 3).
left	13	<b>tuubɛ̃</b> shoulders (cf. tu 3, ũ,
left	14	bɛ̃).
left	15	<b>tudə</b> one apiece, each (cf.
left	16	<b>də</b> 1).
left	17	<b>tue</b> where (cf. tu 5, e 5; [Ṯ]
left	18	ruue).
left	19	<b>tufɔ̃</b> to be in good order.
left	20	<b>tufɔ̃ bee hawi</b> to speak well,
left	21	argue well.
left	22	<b>tuhařə</b> to have faith in, count
left	23	on, someone.
left	24	<b>tukaaɛ</b> leaning, not completely
left	25	perpendicular (cf. kaaɛ).
left	26	<b>tukařa</b> (of an upright pole)
left	27	leaning, not straight; (of the
left	28	sun) at an angle, not passing
left	29	directly overhead (as in
left	30	winter); (of a bird or plane)
left	31	banking. (syn: kaaɛ)
left	32	<b>tumɛ̃ã</b> wide open (cf. tu 4,
left	33	<b>mɛ̃ã</b>).
left	34	<b>tunɔ̃</b> to lower one's head (e.g.
left	35	as a gesture of respect).
left	36	<b>tunɔ̃ra</b> sloping, not flat.
left	37	<b>tunũ</b> stay, persist, permanent,
left	38	complete(ly).
left	39	<b>tu tunũ</b> to remain permanently.
left	40	(cf. tu 5, nũ 2)
left	41	<b>tuṉɛ̃</b> the true parents (cf. tu 3,
left	42	ṉɛ̃).
left	43	<b>tuṉɛnĩ</b> her true parents.
left	44	<b>tuřo</b> to stand, be upright,
right	1	stand still.
right	2	<b>tuřotua</b> to stand and wait (cf.
right	3	tuřo, tua).
right	4	<b>tuřu</b> banyan.
right	5	<b>tutə</b> to look at (cf. tu 5, tə 1).
right	6	<b>tutuari</b> two brothers or two
right	7	sisters (cf. tu 3).
right	8	<b>tuvo</b> to be visible, not con-
right	9	cealed (cf. tu 5, vɔ).
right	10	<b>tuuwařa</b> to stay for a little
right	11	while (cf. tuu 1, wařa).
right	12	<b>tuwi</b> whole, entire, complete
right	13	(cf. tu 4, wi 5).
right	14	<b>tuyaařu</b> to be consoled, to stop
right	15	crying (cf. tu 4, yaařu).
right	16	<b>tuyui</b> to be concealed (cf. tu 5,
right	17	yui).
right	18	Ṯ
right	19	<b>t̪a</b> 1. (probably variant of t̪ɔ)
right	20	in: <b>t̪abãřã</b> to report news.
right	21	<b>t̪a</b> 2. in:
right	22	<b>t̪abořo</b> to gather up a number
right	23	of things with the fingers.
right	24	<b>t̪a</b> 3. in:
right	25	<b>t̪arau</b> to exorcise evil spirits.
right	26	<b>t̪aroa</b> to chase out (e.g. of
right	27	the house).
right	28	<b>t̪a</b> 4. in:
right	29	<b>t̪aenɔ̃šə</b> to wake someone by
right	30	touching him.
right	31	<b>t̪aɣai</b> to brush against, touch
right	32	lightly.
right	33	<b>t̪a</b> 5. in:
right	34	<b>t̪apiři</b> to look.
right	35	<b>t̪aðoři</b> to recall.
right	36	<b>t̪afʷiři</b> to obey.
right	37	<b>t̪akɔ̃ɛ̃</b> to treat a sick person.
right	38	<b>t̪ari</b> to thread a string
right	39	through.
right	40	<b>t̪atɔ̃</b> to learn.
right	41	<b>t̪avae</b> to try to guess some-
right	42	thing.
